page_number,kanji,meaning,on_yomi,kun_yomi,on_yomi_words,kun_yomi_words,explanation,jlpt_level
192,町,밭두둑 정,チョウ,まち,"[{'kanji': '町', 'reading': 'ちょう'}]","[{'kanji': '町', 'reading': 'まち'}, {'kanji': '町中', 'reading': 'まちなか'}]","町 = 田 + 丁。 (의미부)「田」는 ""밭""을 뜻합니다. (소리부)「丁」(チョウ)는 ""못""을 뜻하는 글자입니다(링크 참조). 다만 여기서는 소리부의 역할만 하고 있습니다. 町는 ""논밭(田)"" -> ""마을, 시가지""라는 뜻의 글자입니다(丁는 소리부).",N4
193,料,헤아릴 료,リョウ,,"[{'kanji': '料', 'reading': 'りょう'}, {'kanji': '理', 'reading': 'り'}, {'kanji': '材', 'reading': 'ざい'}, {'kanji': '料', 'reading': 'りょう'}, {'kanji': '料', 'reading': 'りょう'}, {'kanji': '金', 'reading': 'きん'}]",[],"料 = 米 + 斗。 米(""쌀 미"")는 ""쌀""을 뜻하는 상용한자입니다. 「斗」는 ""국자""를 뜻하는 부수입니다(링크 참조). 料는 ""국자(斗)로 쌀(米)을 퍼서 양을 계량하다""-> ""재료, 요금""이라는 뜻의 글자입니다.",N4
194,工,장인 공,"コウ, ク",,"[{'kanji': '工', 'reading': 'こう'}, {'kanji': '場', 'reading': 'じょう'}, {'kanji': '人工', 'reading': 'じんこう'}, {'kanji': '工作', 'reading': 'こうさく'}, {'kanji': '工', 'reading': 'こう'}, {'kanji': '事', 'reading': 'じ'}, {'kanji': '大', 'reading': 'だい'}, {'kanji': '工', 'reading': 'く'}, {'kanji': '細', 'reading': 'さい'}, {'kanji': '工', 'reading': 'く'}]",[],"工는 ""목공 작업에 쓰던 기계""를 본따 그린 상형문자입니다. ""목공 작업"" -> ""공작, 가공, 공정""이라는 의미입니다.",N4
195,建,세울 건,"コン, ケン","てる, た, つ","[{'kanji': '建設', 'reading': 'けんせつ'}, {'kanji': '建国', 'reading': 'けんこく'}, {'kanji': '建築', 'reading': 'けんちく'}, {'kanji': '再建', 'reading': 'さいけん'}, {'kanji': '建', 'reading': 'こん'}, {'kanji': '立', 'reading': 'りゅう'}]",[],"建 = 廴 + 聿。 「廴」는 ""길""을 뜻하는 부수입니다(링크 참조). 「聿」는 ""붓을 든 손""을 뜻합니다. 建는 ""도로(廴)의 설계도를 그리다(聿)""-> ""설립하다, 세우다, 건설하다""라는 뜻의 글자입니다.",N4
196,急,급할 급,キュウ,"いそ, ぐ","[{'kanji': '特', 'reading': 'とっ'}, {'kanji': '急', 'reading': 'きゅう'}, {'kanji': '急', 'reading': 'きゅう'}, {'kanji': '行', 'reading': 'こう'}, {'kanji': '緊', 'reading': 'きん'}, {'kanji': '急', 'reading': 'きゅう'}]",[],"急 = ⺈ + ⺕ + 心。 「⺈」는 ""칼""을 뜻하는 부수입니다(링크 참조). 「⺕」는 ""손""을 뜻합니다. 「心」는 ""마음""을 뜻합니다. 急는 ""손(⺕)에칼(⺈)을 든 강도에게 쫓기는 다급한 마음(心)""-> ""급하다""라는 뜻의 글자입니다.",N4
197,止,그칠 지,シ,"める, まる, と","[{'kanji': '中', 'reading': 'ちゅう'}, {'kanji': '止', 'reading': 'し'}, {'kanji': '停', 'reading': 'てい'}, {'kanji': '止', 'reading': 'し'}]",[],"止는 ""사람의 발""을 본따 그린 상형문자입니다. ""발걸음이 멈추다"" -> ""멈추다, 중지하다""라는 의미입니다.",N4
198,送,보낼 송,ソウ,"おく, る","[{'kanji': '送別会', 'reading': 'そうべつかい'}, {'kanji': '運送', 'reading': 'うんそう'}, {'kanji': '送電', 'reading': 'そうでん'}]",[],"送 = ⻌ + 关。 「⻌」는 ""길""을 뜻합니다. 「关」는 ""웃음""을 뜻하는 글자입니다(링크 참조) 送는 ""떠나는(⻌)사람을 웃으며(关) 환송하다"" -> ""보내다, 전송하다""라는 뜻의 글자입니다.",N4
199,切,끊을 절,"サイ, セツ","る, き, れる","[{'kanji': '切断', 'reading': 'せつだん'}, {'kanji': '親切', 'reading': 'しんせつ'}, {'kanji': '大切', 'reading': 'たいせつ'}, {'kanji': '適切', 'reading': 'てきせつ'}, {'kanji': '一切', 'reading': 'いっさい'}]",[],"切 = 七 + 刀。 「七」는 본래 ""칼로 무언가를 내리치는 모습""을 그린 글자입니다(링크 참조). 「刀」는 ""칼""을 뜻합니다. 切는 ""칼(刀)로 내리쳐(七) 자르다"" -> ""자르다""라는 뜻의 글자입니다.",N4
200,説,말씀 설,"ゼイ, セツ","く, と","[{'kanji': '説明', 'reading': 'せつめい'}, {'kanji': '伝説', 'reading': 'でんせつ'}, {'kanji': '説', 'reading': 'せっ'}, {'kanji': '教', 'reading': 'きょう'}, {'kanji': '小', 'reading': 'しょう'}, {'kanji': '説', 'reading': 'せつ'}, {'kanji': '遊説', 'reading': 'ゆうぜい'}]","[{'kanji': '仏', 'reading': 'ほとけ'}, {'kanji': '教', 'reading': 'おし'}, {'kanji': '説', 'reading': 'と'}]","説 = 言 + 兑。 「言」는 ""말하다""라는 뜻입니다. 「兑」는 ""진지한 표정을 한 사람""을 뜻하는 글자입니다(링크 참조). 説는 ""진지한 얼굴로(兑) 설명하다(言)"" -> ""설명하다""라는 뜻의 글자입니다.",N4
201,転,구를 전,テン,"がす, ころ, ぶ, がる, げる","[{'kanji': '回転', 'reading': 'かいてん'}, {'kanji': '運転', 'reading': 'うんてん'}, {'kanji': '自', 'reading': 'じ'}, {'kanji': '転車', 'reading': 'てんしゃ'}]",[],"転 = 車 + 云。 「車」는 ""수레, 차""를 뜻합니다. 「云」는 ""구름""을 뜻하는 글자입니다(링크 참조). 転는 ""구름(云)이 흐르듯 굴러가는 수레바퀴(車)"" -> ""구르다, 돌다""라는 뜻의 글자입니다.",N4
202,研,갈 연,ケン,"ぐ, と","[{'kanji': '研', 'reading': 'けん'}, {'kanji': '究', 'reading': 'きゅう'}, {'kanji': '研', 'reading': 'けん'}, {'kanji': '究', 'reading': 'きゅう'}, {'kanji': '室', 'reading': 'しつ'}]",[],"研 = 石 + 开。 石(""돌 석"")은 ""돌""을 뜻하는 상용한자입니다. 开는 여기서는 ""평평한 나무책상""을 그린 모양자입니다. 研는 ""평평한 작업대(开) 위에서 돌(石)을 갈다""라는 뜻입니다. ""돌을 열심히 갈다"" -> ""갈다, 갈고닦다, 노력하다, 연구하다""라는 의미입니다.",N4
203,究,연구할 구,キュウ,"める, きわ","[{'kanji': '研', 'reading': 'けん'}, {'kanji': '究', 'reading': 'きゅう'}, {'kanji': '探', 'reading': 'たん'}, {'kanji': '究', 'reading': 'きゅう'}]",[],"究 = 穴 + 九。 (의미부)「穴」는 ""구멍, 동굴""을 뜻합니다. (소리부)「九」(キュウ)는 여기서는 소리부의 역할만 하고 있습니다. 究는 ""깊은 동굴(穴) 안을 파고들다"" -> ""탐구하다, 연구하다""라는 뜻의 글자입니다(九는 소리부).",N4
204,楽,즐길 락,"ラク, ガク","たの, しむ, しい","[{'kanji': '音楽', 'reading': 'おんがく'}, {'kanji': '楽団', 'reading': 'がくだん'}, {'kanji': '楽', 'reading': 'がっ'}, {'kanji': '器', 'reading': 'き'}, {'kanji': '快楽', 'reading': 'かいらく'}, {'kanji': '娯', 'reading': 'ご'}, {'kanji': '楽', 'reading': 'らく'}, {'kanji': '楽園', 'reading': 'らくえん'}]",[],"楽 = 冫 + 白 + 冫 + 木。 「木」는 ""나무""를 뜻합니다. 白는 여기서는 ""거문고""를 그린 모양자입니다. 冫+冫는 여기서는 ""(거문고의) 줄""을 그린 모양자입니다. 楽는 ""나무(木)로 만든 거문고(冫+白+冫)를 타다""-> ""음악, 편안함, 즐겁다""라는 뜻의 글자입니다.",N4
205,起,일어날 기,キ,"こす, お, きる, こる","[{'kanji': '起', 'reading': 'き'}, {'kanji': '立', 'reading': 'りつ'}, {'kanji': '起', 'reading': 'き'}, {'kanji': '源', 'reading': 'げん'}]",[],"起 = 走 + 己。 (의미부)走(""달릴 주"")는 ""달리다""라는 뜻의 상용한자입니다. (소리부 겸 의미부)「己」(キ)는 ""무릎꿇은 사람""을 뜻합니다(링크 참조). 起는 ""무릎꿇은 사람(己)이 벌떡 일어나 달리다(走)"" -> ""일어나다""라는 뜻의 글자입니다. (己는 소리부도 겸함)",N4
206,着,붙을 착,"チャク, ジャク","る, き, く, せる, つ, ける","[{'kanji': '着', 'reading': 'ちゃく'}, {'kanji': '用', 'reading': 'よう'}, {'kanji': '着', 'reading': 'ちゃく'}, {'kanji': '手', 'reading': 'しゅ'}, {'kanji': '到', 'reading': 'とう'}, {'kanji': '着', 'reading': 'ちゃく'}, {'kanji': '執着', 'reading': 'しゅうちゃく'}, {'kanji': '執着', 'reading': 'しゅうじゃく'}]",[],"着 = ⺶ + 目。 ⺶는「羊」을 살짝 비튼 것으로, ""양""을 뜻합니다(링크 참조). 「目」는 ""눈""을 뜻합니다. 着는 ""눈(目) 위에양털(⺶) 모자를 눌러쓰다"" -> ""입다, 붙다""라는 뜻의 글자입니다.",N4
207,乗,탈 승,ジョウ,"る, の, せる","[{'kanji': '乗', 'reading': 'じょう'}, {'kanji': '車', 'reading': 'しゃ'}, {'kanji': '乗客', 'reading': 'じょうきゃく'}]",[],"乗 = 立 + 木。 「立」는 ""서다""라는 뜻입니다. 「木」는 ""나무""를 뜻합니다. 乗은 ""나무(木) 위에 올라타 서다(立)""-> ""타다, 태우다""라는 뜻의 글자입니다.",N4
208,病,병 병,"ビョウ, ヘイ","む, や, やまい","[{'kanji': '病', 'reading': 'びょう'}, {'kanji': '気', 'reading': 'き'}, {'kanji': '病', 'reading': 'びょう'}, {'kanji': '院', 'reading': 'いん'}, {'kanji': '病', 'reading': 'びょう'}, {'kanji': '室', 'reading': 'しつ'}, {'kanji': '疾病', 'reading': 'しっぺい'}]",[],"病 = 疒 + 丙。 (의미부)「疒」는 ""질병, 질환""을 뜻하는 부수입니다(링크 참조). (소리부)丙(ヘイ)는 ""갑을병""의 ""병""을 뜻하는 상용한자입니다. 다만 여기서는 소리부의 역할만 하고 있습니다. 病는 ""질병(疒)"" -> ""병, 아프다""라는 뜻의 글자입니다(丙는 소리부).",N4
209,声,소리 성,"ショウ, セイ","こわ, こえ","[{'kanji': '音声', 'reading': 'おんせい'}, {'kanji': '声楽', 'reading': 'せいがく'}, {'kanji': '歓声', 'reading': 'かんせい'}, {'kanji': '大音', 'reading': 'だいおん'}, {'kanji': '声', 'reading': 'じょう'}]","[{'kanji': '声', 'reading': 'こえ'}, {'kanji': '声', 'reading': 'こえ'}, {'kanji': '声色', 'reading': 'こわいろ'}, {'kanji': '声高', 'reading': 'こわだか'}]","声는 ""석경""이라는 돌로 만든 아악기를 그린 상형문자입니다. ""석경을 치는 소리"" -> ""소리""라는 의미입니다.",N4
210,質,바탕 질,"シツ, シチ, チ",,"[{'kanji': '本質', 'reading': 'ほんしつ'}, {'kanji': '物質', 'reading': 'ぶっしつ'}, {'kanji': '性質', 'reading': 'せいしつ'}, {'kanji': '人質', 'reading': 'ひとじち'}, {'kanji': '質', 'reading': 'しち'}, {'kanji': '屋', 'reading': 'や'}, {'kanji': '言', 'reading': 'げん'}, {'kanji': '質', 'reading': 'ち'}]",[],"質 = 斤 + 斤 + 貝。 「斤」는 ""도끼""를 뜻하는 부수입니다. 「貝」는 ""돈, 재물""을 뜻하는 부수입니다. 質는 ""도끼 두 자루(斤斤)를담보로 돈(貝)을 빌리다""라는 뜻입니다. 이때, 돈을 빌려주는 사람은 담보로 받는 저당물의 가치를 확인해보아야 할 것입니다. ""저당물의 가치"" -> ""품질"" -> ""성질, 기질""이라는 의미입니다. 참고) 質의 본래 뜻이었던 ""저당물""이라는 의미는 지금도人質(인질),質屋(전당포) 등의 단어에 남아서 쓰이고 있습니다.",N4
211,待,기다릴 대,タイ,"ま, つ","[{'kanji': '待', 'reading': 'たい'}, {'kanji': '機', 'reading': 'き'}, {'kanji': '期', 'reading': 'き'}, {'kanji': '待', 'reading': 'たい'}, {'kanji': '招', 'reading': 'しょう'}, {'kanji': '待', 'reading': 'たい'}]",[],"待 = 彳 + 寺。 「彳」는 ""길""을 뜻하는 부수입니다. 寺(ジ - ""절 사"")는 ""절, 사찰""을 뜻하는 상용한자입니다. 待는 ""유명 사찰(寺)에 들어가기 위해 길(彳)에서 줄서서 기다리다"" -> ""기다리다""라는 뜻의 글자입니다.",N4
212,試,시험 시,シ,"こころ, ため, す, みる","[{'kanji': '試', 'reading': 'し'}, {'kanji': '験', 'reading': 'けん'}, {'kanji': '試', 'reading': 'し'}, {'kanji': '合', 'reading': 'あい'}, {'kanji': '試', 'reading': 'し'}, {'kanji': '練', 'reading': 'れん'}]",[],"試 = 言 + 弋 + 工。 「言」는 ""말하다""라는 뜻입니다. 「弋」는""공구, 도구""를 뜻하는 부수입니다. 「工」는 ""공작, 공정, 가공""을 뜻합니다. 試는 ""목공용(工) 공구(弋)의 사용법을 아는지 물어보다(言)"" -> ""시험해보다""라는 뜻의 글자입니다.",N4
213,族,겨레 족,ゾク,,"[{'kanji': '家', 'reading': 'か'}, {'kanji': '族', 'reading': 'ぞく'}, {'kanji': '民族', 'reading': 'みんぞく'}, {'kanji': '一族', 'reading': 'いちぞく'}]",[],"族 = 𭤨 + 矢。 「𭤨」는 ""바람에 나부끼는 깃발""을 뜻하는 글자입니다(링크 참조). 「矢」는 ""화살""을 뜻합니다. 族는 ""하나의 깃발(𭤨) 아래 뭉친 무장집단(矢)"" -> ""민족, 일족, 가족""이라는 뜻의 글자입니다.",N4
214,銀,은 은,ギン,,"[{'kanji': '銀行', 'reading': 'ぎんこう'}, {'kanji': '銀', 'reading': 'ぎん'}, {'kanji': '貨', 'reading': 'か'}]",[],"銀 = 金 + 艮。 「金」는 ""황금""을 뜻합니다. 「艮」는 ""천민""을 뜻하는 부수입니다(링크 참조). 銀은 ""금(金)보다 천한(艮) 금속"" -> ""은""이라는 뜻의 글자입니다.",N4
215,早,이를 조,"サッ, ソウ","める, はや, い, まる","[{'kanji': '早', 'reading': 'そう'}, {'kanji': '朝', 'reading': 'ちょう'}, {'kanji': '早退', 'reading': 'そうたい'}, {'kanji': '早速', 'reading': 'さっそく'}, {'kanji': '早', 'reading': 'さっ'}, {'kanji': '急', 'reading': 'きゅう'}]",[],"早 = 日 + 十。 「日」는 ""태양""을 뜻합니다. 十는 여기서는 ""지평선""을 그린 모양자입니다. 早는 ""지평선(十) 위로해(日)가막 떠오르는 아침"" -> ""이른 시간, 이르다""라는 뜻의 글자입니다.",N4
216,映,비칠 영,エイ,"る, す, える, うつ, は","[{'kanji': '映', 'reading': 'えい'}, {'kanji': '画', 'reading': 'が'}, {'kanji': '映像', 'reading': 'えいぞう'}, {'kanji': '反映', 'reading': 'はんえい'}]",[],"映 = 日 + 央。 「日」는 ""태양""을 뜻합니다. 央(""가운데 앙"")은 ""중앙""을 뜻하는 상용한자입니다. 映는 ""하늘 중앙(央)에서 세상을 비추는 태양(日)"" -> ""비추다""라는 뜻의 글자입니다.",N4
217,親,친할 친,シン,"おや, した, しむ, しい","[{'kanji': '親族', 'reading': 'しんぞく'}, {'kanji': '肉親', 'reading': 'にくしん'}, {'kanji': '親切', 'reading': 'しんせつ'}, {'kanji': '親友', 'reading': 'しんゆう'}]",[],"親 = 立 + 木 + 見。 「立」는 ""서다""라는 뜻입니다. 「木」는 ""나무""를 뜻합니다. 「見」는 ""보다""라는 뜻입니다. 親는 ""나무(木) 뒤에 서서(立) 아이를 지켜보는(見) 부모"" -> ""부모, 친밀한""이라는 뜻의 글자입니다.",N4
218,験,시험 험,"ゲン, ケン",,"[{'kanji': '試', 'reading': 'し'}, {'kanji': '験', 'reading': 'けん'}, {'kanji': '経験', 'reading': 'けいけん'}, {'kanji': '実験', 'reading': 'じっけん'}, {'kanji': '体験', 'reading': 'たいけん'}, {'kanji': '霊験', 'reading': 'れいげん'}]",[],"験 = 馬 + 㑒。 (의미부)馬(""말 마"")는 ""말""을 뜻하는 상용한자입니다. (소리부 겸 의미부)「㑒」(ケン)은 ""뾰족하다, 날카롭다""라는 뜻의 글자입니다(링크 참조). 験은 ""말(馬)을 타고 응시하는 무술(㑒) 시험"" -> ""시험""이라는 뜻의 글자입니다. (㑒은 소리부(ケン -> ケン・ゲン)도 겸함)",N4
219,働,,ドウ,"はたら, く","[{'kanji': '労働', 'reading': 'ろうどう'}]","[{'kanji': '真面目', 'reading': 'まじめ'}, {'kanji': '働', 'reading': 'はたら'}]","働 = 亻 + 動。 (의미부)「亻」는 ""사람""을 뜻합니다. (소리부 겸 의미부)「動」(ドウ)는 ""움직이다""라는 뜻입니다. 働는 ""열심히 움직이는(動) 사람(亻)"" -> ""일하다""라는 뜻의 글자입니다. (動는 소리부도 겸함)",N4
220,好,좋을 호,コウ,"む, この, く, す","[{'kanji': '好', 'reading': 'こう'}, {'kanji': '意', 'reading': 'い'}, {'kanji': '愛好', 'reading': 'あいこう'}, {'kanji': '友好', 'reading': 'ゆうこう'}]",[],"好 = 女 + 子。 「女」는 ""여자""를 뜻합니다. 「子」는 ""아이""를 뜻합니다. 好는 ""아기(子)를 꼭 끌어안은 여자(女)"" -> ""사랑하다, 좋아하다""라는 뜻의 글자입니다.",N4
221,英,꽃부리/뛰어날 영,エイ,,"[{'kanji': '英雄', 'reading': 'えいゆう'}, {'kanji': '英国', 'reading': 'えいこく'}]",[],"英 = 艹 + 央。 「艹」는 ""풀""을 뜻하는 부수입니다. 央(""가운데 앙"")은 ""중앙""을 뜻하는 상용한자입니다. 英는 ""잔디밭(艹) 중앙(央)에 홀로 핀 화려한 꽃"" -> ""뛰어나다""라는 뜻의 글자입니다.",N4
222,頭,머리 두,"トウ, ト, ズ","かしら, あたま","[{'kanji': '先頭', 'reading': 'せんとう'}, {'kanji': '頭', 'reading': 'ず'}, {'kanji': '脳', 'reading': 'のう'}, {'kanji': '頭', 'reading': 'ず'}, {'kanji': '痛', 'reading': 'つう'}, {'kanji': '音', 'reading': 'おん'}, {'kanji': '頭', 'reading': 'ど'}]","[{'kanji': '頭', 'reading': 'あたま'}, {'kanji': '石', 'reading': 'いし'}, {'kanji': '頭', 'reading': 'あたま'}, {'kanji': '一', 'reading': 'いち'}, {'kanji': '味', 'reading': 'み'}, {'kanji': '頭', 'reading': 'かしら'}]","頭 = 豆 + 頁。 (소리부 겸 의미부)「豆」(トウ、ズ)는 ""콩, 둥근 것""을 뜻하는 부수입니다(링크 참조). (의미부)「頁」는 ""머리""를 뜻하는 부수입니다. 頭는 ""둥근(豆)머리통(頁)"" -> ""머리""라는 뜻의 글자입니다. (豆는 소리부도 겸함)",N4
223,低,낮을 저,テイ,"める, い, まる, ひく","[{'kanji': '高低', 'reading': 'こうてい'}, {'kanji': '最低', 'reading': 'さいてい'}]",[],"低 = 亻 + 氐。 (의미부)「亻」는 ""사람""을 뜻합니다. (소리부 겸 의미부)「氐」(テイ)는 ""낮다""라는 뜻의 글자입니다(링크 참조). 低는 ""신분이 낮은(氐) 사람(亻)"" -> ""낮다""라는 뜻의 글자입니다. (氐는 소리부도 겸함)",N4
224,医,의원 의,イ,,"[{'kanji': '医', 'reading': 'い'}, {'kanji': '学', 'reading': 'がく'}, {'kanji': '医', 'reading': 'い'}, {'kanji': '者', 'reading': 'しゃ'}, {'kanji': '医', 'reading': 'い'}, {'kanji': '療', 'reading': 'りょう'}]",[],"医 = 匚 + 矢。 匚는 여기서는 ""(의원의) 집""을 그린 모양자입니다. 「矢」는 ""화살""을 뜻합니다. 医는 ""화살(矢)에 맞아 다친 사람을 치료하는 곳(匚)"" -> ""의원, 의사""라는 뜻의 글자입니다.",N4
225,仕,섬길 사,"シ, ジ","える, つか","[{'kanji': '奉', 'reading': 'ほう'}, {'kanji': '仕', 'reading': 'し'}, {'kanji': '仕', 'reading': 'し'}, {'kanji': '事', 'reading': 'ごと'}, {'kanji': '給', 'reading': 'きゅう'}, {'kanji': '仕', 'reading': 'じ'}]",[],"仕 = 亻 + 士。 (의미부)「亻」는 ""사람""을 뜻합니다. (소리부 겸 의미부)士(シ - ""선비 사"")는 ""선비, 무사""를 뜻하는 상용한자입니다. 仕는 ""무사(士)의 시중을 드는 시종(亻)"" -> ""시중들다, 섬기다""라는 뜻의 글자입니다.",N4
226,去,갈 거,"コ, キョ","さ, る","[{'kanji': '去年', 'reading': 'きょねん'}, {'kanji': '消', 'reading': 'しょう'}, {'kanji': '去', 'reading': 'きょ'}, {'kanji': '除去', 'reading': 'じょきょ'}, {'kanji': '過去', 'reading': 'かこ'}]",[],"去는 ""사람이 문 밖으로 나가는 모습""을 그린 상형문자입니다. ""집을 떠나다"" -> ""떠나가다, 지나가다""라는 의미입니다.",N4
227,味,맛 미,ミ,"わう, あじ","[{'kanji': '味', 'reading': 'み'}, {'kanji': '覚', 'reading': 'かく'}, {'kanji': '意味', 'reading': 'いみ'}, {'kanji': '興', 'reading': 'きょう'}, {'kanji': '味', 'reading': 'み'}, {'kanji': '趣', 'reading': 'しゅ'}, {'kanji': '味', 'reading': 'み'}]",[],"味 = 口 + 未。 (의미부)「口」는 ""입""을 뜻합니다. (소리부 겸 의미부)未(ミ - ""아닐 미"")는 ""아직, 미숙한""이란 뜻의 상용한자입니다. 味는 ""아직(未) 맛보지(口) 못한 음식"" -> ""맛, 흥미, 재미""라는 뜻의 글자입니다. (未는 소리부도 겸함)",N4
228,門,문 문,モン,かど,"[{'kanji': '正門', 'reading': 'せいもん'}, {'kanji': '入', 'reading': 'にゅう'}, {'kanji': '門', 'reading': 'もん'}, {'kanji': '専門', 'reading': 'せんもん'}]","[{'kanji': '門口', 'reading': 'かどぐち'}]","門는 ""문""의 모습을 본따 그린 상형문자입니다.",N4
229,写,베낄 사,シャ,"うつ, る, す","[{'kanji': '写真', 'reading': 'しゃしん'}, {'kanji': '描', 'reading': 'びょう'}, {'kanji': '写', 'reading': 'しゃ'}]",[],"写 = 冖 + 与。 冖는 여기서는「宀」가 변형된 것으로, ""집""을 뜻합니다. 与(""줄 여"")는 ""주다""라는 뜻의 상용한자입니다. 写는 ""집문서(冖)의 사본을 넘겨주다(与)"" -> ""등기, 사본"" -> ""베끼다""라는 뜻의 글자입니다.",N4
230,字,글자 자,ジ,あざ,"[{'kanji': '漢', 'reading': 'かん'}, {'kanji': '字', 'reading': 'じ'}, {'kanji': '文字', 'reading': 'もじ'}]","[{'kanji': '字', 'reading': 'あざ'}]","字 = 宀 + 子。 「宀」는 ""집""을 뜻합니다. 「子」는 ""아이""를 뜻합니다. 字는 ""집(宀)에서 아이(子)가 태어나듯 새로운 한자가 만들어지다"" -> ""글자""라는 뜻의 글자입니다.",N4
231,答,대답 답,トウ,"える, こた, え","[{'kanji': '応答', 'reading': 'おうとう'}, {'kanji': '答案', 'reading': 'とうあん'}, {'kanji': '問答', 'reading': 'もんどう'}]",[],"答 = 𥫗 + 合。 「𥫗」는 ""대나무, 대나무 죽간""을 뜻하는 부수입니다(링크 참조). 「合」는 ""들어맞다, 합치다""라는 뜻입니다. 答는 ""죽간(𥫗)에 쓰인 편지의 내용에 맞게(合) 회답하다"" -> ""대답하다""라는 뜻의 글자입니다.",N4
232,夜,밤 야,ヤ,"よる, よ","[{'kanji': '夜', 'reading': 'や'}, {'kanji': '間', 'reading': 'かん'}, {'kanji': '深', 'reading': 'しん'}, {'kanji': '夜', 'reading': 'や'}]","[{'kanji': '夜', 'reading': 'よ'}, {'kanji': '中', 'reading': 'なか'}, {'kanji': '夜明', 'reading': 'よあ'}, {'kanji': '夜', 'reading': 'よる'}]","夜 = 亠 + 亻 + 月。 亠는 여기서는「宀」가 살짝 변형된 것으로, ""집""을 뜻합니다. 「亻」는 ""사람""을 뜻합니다. 오른쪽 하단은「月」가 변형된 것으로, ""달""을 뜻합니다. 夜는 ""달(月)이 뜬 밤에 집(亠)에서 자는 사람(亻)"" -> ""밤""이라는 뜻의 글자입니다.",N4
233,音,소리 음,"イン, オン","おと, ね","[{'kanji': '音楽', 'reading': 'おんがく'}, {'kanji': '音質', 'reading': 'おんしつ'}, {'kanji': '発音', 'reading': 'はつおん'}, {'kanji': '子', 'reading': 'し'}, {'kanji': '音', 'reading': 'いん'}, {'kanji': '母', 'reading': 'ぼ'}, {'kanji': '音', 'reading': 'いん'}]","[{'kanji': '音', 'reading': 'おと'}, {'kanji': '雨音', 'reading': 'あまおと'}, {'kanji': '足音', 'reading': 'あしおと'}, {'kanji': '音', 'reading': 'ね'}, {'kanji': '色', 'reading': 'いろ'}, {'kanji': '本', 'reading': 'ほん'}, {'kanji': '音', 'reading': 'ね'}]","音는「言」가 변형되어 만들어진 글자입니다. ""말소리(言)"" -> ""소리""라는 의미입니다.",N4
234,注,부을 주,チュウ,"そそ, ぐ","[{'kanji': '注入', 'reading': 'ちゅうにゅう'}, {'kanji': '注', 'reading': 'ちゅう'}, {'kanji': '意', 'reading': 'い'}, {'kanji': '注', 'reading': 'ちゅう'}, {'kanji': '目', 'reading': 'もく'}]",[],"注 = 氵 + 主。 (의미부)「氵」는 ""물""을 뜻하는 부수입니다. (소리부)「主」(シュ)는 여기서는 소리부(シュ -> チュウ)의 역할만 하고 있습니다. 注는 ""물(氵)을 쏟아붓다"" -> ""쏟다, 집중하다""라는 뜻의 글자입니다(主는 소리부).",N4
235,帰,돌아갈 귀,キ,"す, る, かえ","[{'kanji': '帰', 'reading': 'き'}, {'kanji': '国', 'reading': 'こく'}, {'kanji': '復', 'reading': 'ふっ'}, {'kanji': '帰', 'reading': 'き'}, {'kanji': '帰', 'reading': 'き'}, {'kanji': '還', 'reading': 'かん'}]","[{'kanji': '家', 'reading': 'いえ'}, {'kanji': '帰', 'reading': 'かえ'}, {'kanji': '子', 'reading': 'こ'}, {'kanji': '供', 'reading': 'ども'}, {'kanji': '一人', 'reading': 'ひとり'}, {'kanji': '帰', 'reading': 'かえ'}]","帰 = リ + 帚。 リ는 여기서는 ""굽어진 길""을 그린 모양자로, ""귀갓길""을 뜻합니다. 「帚」는 ""빗자루""를 뜻하는 글자입니다(링크 참조). 帰는 ""일을 마치고 귀가하는(リ) 남편을 맞이하기 위해 집을 청소(帚)하는 아내""라는 뜻입니다. ""일을 마치고 돌아온 남편"" -> ""돌아가다, 돌아오다""라는 의미입니다.",N4
236,歌,노래 가,カ,"うた, う","[{'kanji': '歌', 'reading': 'か'}, {'kanji': '手', 'reading': 'しゅ'}, {'kanji': '歌詞', 'reading': 'かし'}, {'kanji': '歌舞伎', 'reading': 'かぶき'}]","[{'kanji': '歌', 'reading': 'うた'}, {'kanji': '合', 'reading': 'あ'}, {'kanji': '歌', 'reading': 'うた'}]","歌 = 哥 + 欠。 哥는 ""노래""를 뜻하는 글자입니다. 「欠」는 ""입으로 하는 동작""을 뜻합니다. 歌는 ""입을 벌리고(欠) 노래하다(哥)"" -> ""노래하다""라는 뜻의 글자입니다.",N4
237,光,빛 광,コウ,"る, ひか, ひかり","[{'kanji': '日光', 'reading': 'にっこう'}, {'kanji': '月光', 'reading': 'げっこう'}, {'kanji': '光線', 'reading': 'こうせん'}, {'kanji': '栄光', 'reading': 'えいこう'}]","[{'kanji': '光', 'reading': 'ひかり'}, {'kanji': '星', 'reading': 'ほし'}, {'kanji': '光', 'reading': 'ひかり'}, {'kanji': '夜', 'reading': 'よ'}, {'kanji': '空', 'reading': 'ぞら'}, {'kanji': '星', 'reading': 'ほし'}, {'kanji': '光', 'reading': 'ひか'}]","光 = 火 + 儿。 「火」는 ""불""을 뜻합니다. 儿는「人」가 변형된 것으로, ""사람""을 뜻합니다. 光는 ""횃불(火)을 든 사람(儿)"" -> ""빛나다""라는 뜻의 글자입니다.",N4
